Training on device cuda:1
Preparing CID-SMILES dictionary ... 
Preparing CID-dscrptr dictionary ... 
Preparing datasets and dataloaders ... 
Training, validation, and testing ... 
Validation ################################################################################
Target Descriptor Name: MW             , R2: 0.5786, MAE: 44.6147
Target Descriptor Name: AMW            , R2: 0.9123, MAE: 0.2025
Target Descriptor Name: VE1sign_B(s)   , R2: 0.9510, MAE: 0.0069
Target Descriptor Name: IC1            , R2: 0.9291, MAE: 0.0034
Target Descriptor Name: GATS4e         , R2: 0.9251, MAE: 0.0071
Target Descriptor Name: RBF            , R2: 0.8415, MAE: 0.0037
Target Descriptor Name: GATS3e         , R2: 0.7942, MAE: 1.9271
Target Descriptor Name: Eta_sh_y       , R2: 0.8251, MAE: 0.0125
Target Descriptor Name: Mp             , R2: 0.7059, MAE: 1.4840
Target Descriptor Name: GATS5i         , R2: 0.8313, MAE: 1.0977
Target Descriptor Name: IC2            , R2: 0.3877, MAE: 37.0485
Target Descriptor Name: MATS7e         , R2: 0.8920, MAE: 0.0236
Target Descriptor Name: Mi             , R2: 0.0519, MAE: 0.0728
Target Descriptor Name: Mv             , R2: 0.9002, MAE: 0.0036
Target Descriptor Name: Me             , R2: 0.8497, MAE: 0.0054
Target Descriptor Name: SssO           , R2: 0.9181, MAE: 0.2822
Target Descriptor Name: VE3sign_B(s)   , R2: 0.7875, MAE: 0.1200
Target Descriptor Name: MATS5i         , R2: 0.7098, MAE: 0.1637
Target Descriptor Name: GATS3s         , R2: 0.7214, MAE: 0.0240
Target Descriptor Name: MATS7i         , R2: 0.7075, MAE: 0.0224
Target Descriptor Name: MATS3e         , R2: 0.5478, MAE: 0.0195
Target Descriptor Name: GATS5m         , R2: 0.1824, MAE: 0.0699
Target Descriptor Name: MATS5m         , R2: 0.1093, MAE: 0.9354
Target Descriptor Name: PW2            , R2: 0.5352, MAE: 0.6834
Target Descriptor Name: GATS6e         , R2: 0.8460, MAE: 0.0027
Target Descriptor Name: MATS4m         , R2: 0.3076, MAE: 0.0772
Target Descriptor Name: MATS6s         , R2: 0.1217, MAE: 0.0806
Target Descriptor Name: GATS1s         , R2: 0.1488, MAE: 1.0240
Target Descriptor Name: SpPosA_X       , R2: 0.1768, MAE: 0.1101
Target Descriptor Name: GATS5s         , R2: 0.0798, MAE: 1.0572
Target Descriptor Name: P_VSA_MR_5     , R2: 0.1552, MAE: 0.1308
Target Descriptor Name: VE1sign_D/Dt   , R2: 0.3786, MAE: 0.2720
Target Descriptor Name: ALOGP          , R2: 0.3809, MAE: 0.0366
Target Descriptor Name: BIC2           , R2: 0.3070, MAE: 0.9180
